feature,h,ic_s,t_s,n_s,ic_l,t_l,n_l,scale,t_exp,realized
vol_trend,5,0.006453253497028099,1.288633420760275,2114,-0.0027375057350320334,-0.8988886218288134,5386,1.5961756565568446,2.0568852964431246,-0.4370144622955978
vol_trend,21,0.0004222372059349643,0.042530687976108324,2098,-0.007452908342060692,-1.202274478232878,5370,1.599868917414027,0.0680435257292102,-17.669197257906895
vol_shock,1,0.005780252687792332,2.6172576578983255,2118,0.0055880061494869735,4.149112497876162,5390,1.595259739197725,4.175205768752131,0.9937504227764641
vol_shock,5,0.010314781970467892,2.0991863408619986,2114,0.00408200746753957,1.3747324337275746,5386,1.5961756565568446,3.3506701358605606,0.4102858168622734
vol_shock,21,0.0030504704866817062,0.30705085867506715,2098,-0.0016447279443737087,-0.27239982168039056,5370,1.599868917414027,0.4912411248595271,-0.5545134718887484
px_vol_diverge,1,-0.0030953735770561683,-1.2525126323280023,2115,-0.0019780059375824706,-1.353216473737977,5387,1.5959464017496587,-1.9989430287098684,0.6769660036841332
px_vol_diverge,5,-0.0015564122786492858,-0.3050515702482681,2111,0.00025614265625861684,0.08207544004057586,5383,1.59686452604561,-0.4871260311439698,-0.16848912764491233
px_vol_diverge,21,-0.004629365541405594,-0.4683171241055609,2095,0.002660682856903989,0.4276282706332008,5367,1.600566725407629,-0.7495728057819558,-0.5704959776216777
dollar_volume,1,-0.0010274024651037166,-0.3202503458798035,2157,-0.005361257728914197,-3.134208989137569,5429,1.5864809013790322,-0.5080710573983375,6.168839857138898
dollar_volume,5,-0.0015531424668762657,-0.22311128163775468,2153,-0.010272164696247421,-2.7356497046167862,5425,1.587368860037578,-0.35415990079484566,7.724334964170512
dollar_volume,21,-0.008752409693836363,-0.6507595887669121,2137,-0.02571732723865891,-3.4028899374252184,5409,1.5909488961832585,-1.03532524942939,3.2867834907925695
garman_klass,1,-0.006074066983937803,-1.0658978765514826,2157,0.0001848193312911184,0.05310582533898941,5429,1.5864809013790322,-1.6910266239693925,-0.03140448801115424
garman_klass,5,-0.019617123355839296,-1.5707572201835656,2153,-0.017118968419929843,-2.229711890005058,5425,1.587368860037578,-2.4933710979985815,0.894255929971611
garman_klass,21,-0.0354806218485496,-1.5099002685242973,2137,-0.03786157427049226,-2.5609593778047053,5409,1.5909488961832585,-2.4021741655555364,1.0661006243951705
close_in_range,1,-0.00790052657379146,-1.789556308334723,2157,-0.009464303009893546,-3.8729803467007087,5429,1.5864809013790322,-2.8390969051154045,1.3641592647727108
close_in_range,5,-0.010425305707521286,-1.1416521956577537,2153,-0.011791130241398455,-2.286898238000242,5425,1.587368860037578,-1.8122231443806462,1.261929716045991
