setup,lb,th,horizon,n_events,mean,base,edge,t,win,ann_edge
21d move <= -2.0sd,21,-2.0,5.0,2094.0,0.007782026752938275,0.002640018650598561,0.005142008102339714,3.8074330887024015,0.5859598853868195,0.25915720835792155
21d move <= -2.0sd,21,-2.0,21.0,2090.0,0.030883852568855178,0.011144049866043707,0.01973980270281147,9.387608318243098,0.6401913875598086,0.23687763243373763
21d move <= -1.5sd,21,-1.5,1.0,4774.0,0.0011904958102973045,0.0005183230503585794,0.0006721727599387251,1.7588711972300914,0.5400083787180562,0.16938753550455873
21d move <= -1.5sd,21,-1.5,5.0,4770.0,0.006126721883552045,0.0025504586540365287,0.003576263229515516,4.929277299332604,0.5865828092243187,0.180243666767582
21d move <= -1.5sd,21,-1.5,21.0,4749.0,0.024149999620555196,0.010829082996116667,0.013320916624438529,10.71233233730914,0.6369762055169509,0.15985099949326234
21d move >= +1.5sd,21,1.5,1.0,4986.0,0.00037612241446406854,0.0005782692715788967,-0.00020214685711482817,-0.9191330875975459,0.5248696349779383,-0.0509410079929367
21d move >= +1.5sd,21,1.5,5.0,4980.0,0.0027130228427227894,0.0027994199512285894,-8.639710850580004e-05,-0.18516581718764685,0.5556224899598393,-0.004354414268692322
21d move >= +1.5sd,21,1.5,21.0,4950.0,0.009222690088935875,0.01192611411328713,-0.002703424024351255,-2.9368303651430385,0.5909090909090909,-0.03244108829221506
21d move >= +2.0sd,21,2.0,1.0,2077.0,0.0005443813766925912,0.000564536149105437,-2.01547724128458e-05,-0.057889194603646804,0.5305729417428984,-0.005079002648037141
21d move >= +2.0sd,21,2.0,5.0,2074.0,0.0035096175637056677,0.002771503040842866,0.0007381145228628019,0.9972305549859676,0.5593056894889104,0.037200971952285215
21d move >= +2.0sd,21,2.0,21.0,2056.0,0.007824893228962404,0.011853116254887427,-0.0040282230259250235,-2.858479284380429,0.5676070038910506,-0.04833867631110028
21d move >= +2.5sd,21,2.5,1.0,821.0,4.080693012638707e-05,0.0005701187653113015,-0.0005293118351849145,-0.9027843314524366,0.510353227771011,-0.13338658246659846
